Back to Index,Seniority,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1106,,1,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1126,,2.8,45300,57223,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1026,,1.81,33200,49008,Operational Delivery,,
Mar-13,Junior,,,EA AO,Executive Assistant - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1026,,1.5,15516,22939,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1106,,2,33200,49008,Operational Delivery,,
Mar-13,Junior,,,EA AO,Executive Assistant - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1106,,1.61,15516,22939,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1044,,4,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1126,,2,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1192,,13,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1135,,0.56,45300,57223,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1026,,5.98,45300,57223,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1135,,3,21916,32232,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1154,,5.02,45300,57223,other,,
Mar-13,Junior,,,GRADE 6,Manager - Business Unit Support.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1192,,3,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1161,,3,45300,57223,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1024,,11,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1192,,1,45300,57223,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1024,,1,21916,32232,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1026,,12.56,55431,69187,other,,
Mar-13,Junior,,,GRADE 6,Manager - Business Unit Support.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1024,,1,55431,69187,Finance,,
Mar-13,Junior,,,GRADE 6,Manager - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1024,,1.8,55431,69187,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1135,,1,33200,49008,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1192,,1,33200,49008,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1161,,8,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1061,,5.89,55431,69187,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1026,,2,26800,40828,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1106,,2,45300,57223,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1106,,2,21916,32232,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1154,,5.89,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1044,,1,45300,57223,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,1,55431,69187,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Department For Education,Office of the Schools Commissioner Group,,,DFE-1160,,1,21916,32232,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1106,,2,26800,40828,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,12.81,45300,57223,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,3.86,21916,32232,Operational Delivery,,
Mar-13,Junior,,,EA AO,Executive Assistant - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,0.57,15516,22939,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,36.93,33200,49008,Operational Delivery,,
Mar-13,Junior,,,EA AO,Executive Assistant - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,5,15516,22939,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1020,,1,21916,32232,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,7,55431,69187,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,4,21916,32232,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1048,,2.89,26800,40828,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1048,,7.57,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,5.67,45300,57223,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,13.74,33200,49008,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,9.04,26800,40828,Finance,,
Mar-13,Junior,,,GRADE 7,Manager - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,2,45300,57223,Finance,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,4.78,33200,49008,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1048,,13.67,45300,57223,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1108,,6.98,26800,40828,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1020,,1,26800,40828,Finance,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,2,26800,40828,Operational Delivery,,
Mar-13,Junior,,,EA AO,Executive Assistant - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1048,,0.86,15516,22939,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1148,,2.11,26800,40828,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1020,,1,21916,32232,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1151,,3,55431,69187,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1048,,0.81,21916,32232,other,,
Mar-13,Junior,,,GRADE 7,Manager - Business Unit Support.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1048,,1,45300,57223,Finance,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1020,,1,33200,49008,other,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Business Unit Support.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,1.5,26800,40828,other,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Business Unit Support.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,2,33200,49008,other,,
Mar-13,Junior,,,EA AO,Executive Assistant - Business Unit Support.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,1,15516,22939,other,,
Mar-13,Junior,,,GRADE 6,Manager - Business Unit Support.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,1,55431,69187,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,1,33200,49008,other,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Business Unit Support.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1044,,1,33200,49008,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1134,,8,33200,49008,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1134,,5.1,45300,57223,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1134,,6,21916,32232,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1134,,9,26800,40828,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1134,,1,55431,69187,other,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Business Unit Support.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1134,,1,33200,49008,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1142,,3.67,45300,57223,other,,
Mar-13,Junior,,,GRADE 7,Manager - Business Unit Support.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,1,45300,57223,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,8.81,45300,57223,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1071,,3,26800,40828,Finance,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,1,33200,49008,Operational Delivery,,
Mar-13,Junior,,,EA AO,Executive Assistant - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,2,15516,22939,Finance,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1148,,1,26800,40828,Finance,,
Mar-13,Junior,,,EA AO,Executive Assistant - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1139,,1,15516,22939,Finance,,
Mar-13,Junior,,,EA AO,Executive Assistant - Finance.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1142,,1,15516,22939,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1142,,7.47,33200,49008,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1071,,7.82,45300,57223,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1148,,2.86,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,3,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1137,,1,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,4,55431,69187,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,2.8,45300,57223,Operational Delivery,,
Mar-13,Junior,,,EA AO,Executive Assistant - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,2,15516,22939,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1071,,1,21916,32232,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1071,,5.8,33200,49008,Operational Delivery,,
Mar-13,Junior,,,EA AO,Executive Assistant - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1071,,2,15516,22939,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1071,,7.81,55431,69187,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1029,,4.94,33200,49008,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1148,,2.98,33200,49008,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1137,,5,45300,57223,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,6,33200,49008,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1029,,7.7,55431,69187,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1029,,2.37,26800,40828,Operational Delivery,,
Mar-13,Junior,,,GRADE 6,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1142,,6,55431,69187,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,11.35,33200,49008,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1137,,1,26800,40828,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1137,,3.54,33200,49008,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,2.61,21916,32232,Operational Delivery,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Operational Delivery.,,Department for Education,Department For Education,People and Change Group,,,DFE-1091,,1,33200,49008,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1029,,1.98,45300,57223,Operational Delivery,,
Mar-13,Junior,,,GRADE 7,Manager - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1148,,6,45300,57223,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,1,26800,40828,Operational Delivery,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1099,,1,26800,40828,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,1,21916,32232,Operational Delivery,,
Mar-13,Junior,,,EO,Executive Officer - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1142,,1,21916,32232,Operational Delivery,,
Mar-13,Junior,,,EA AO,Executive Assistant - Operational Delivery.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1148,,2,15516,22939,Procurement,,
Mar-13,Junior,,,GRADE 7,Manager - Procurement.,,Department for Education,Department For Education,ALB Reform Group,,,DFE-1021,,1,45300,57223,Policy,,
Mar-13,Junior,,,GRADE 6,Manager - Policy Delivery.,,Department for Education,Department For Education,ALB Reform Group,,,DFE-1021,,2,55431,69187,Policy,,
Mar-13,Junior,,,GRADE 7,Manager - Policy Delivery.,,Department for Education,Department For Education,ALB Reform Group,,,DFE-1021,,4,45300,57223,Policy,,
Mar-13,Junior,,,EO,Executive Officer - Policy Delivery.,,Department for Education,Department For Education,ALB Reform Group,,,DFE-1021,,1,21916,32232,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Department For Education,ALB Reform Group,,,DFE-1021,,1,21916,32232,Information Technology,,
Mar-13,Junior,,,HEO,Higher Executive Officer - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1094,,23,26800,40828,Information Technology,,
Mar-13,Junior,,,HEO,Higher Executive Officer - IT.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1062,,0.8,26800,40828,Information Technology,,
Mar-13,Junior,,,EO,Executive Officer - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1094,,34.81,21916,32232,Information Technology,,
Mar-13,Junior,,,EA AO,Executive Assistant - IT.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,2.13,15516,22939,Information Technology,,
Mar-13,Junior,,,HEO,Higher Executive Officer - IT.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,6.8,26800,40828,Information Technology,,
Mar-13,Junior,,,GRADE 7,Manager - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1094,,8.8,45300,57223,other,,
Mar-13,Junior,,,GRADE 7,Manager - Knowledge Information and Records Mgmt.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,5.92,45300,57223,Programme and Project Management (PPM),,
Mar-13,Junior,,,SEO,Senior Executive Officer - Programme and Project Management.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,0.96,33200,49008,Information Technology,,
Mar-13,Junior,,,SEO,Senior Executive Officer - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,9,33200,49008,Information Technology,,
Mar-13,Junior,,,EO,Executive Officer - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,17.76,21916,32232,Information Technology,,
Mar-13,Junior,,,SEO,Senior Executive Officer - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1094,,7,33200,49008,other,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Contract Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,3,33200,49008,Information Technology,,
Mar-13,Junior,,,HEO,Higher Executive Officer - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,6.65,26800,40828,Information Technology,,
Mar-13,Junior,,,EO,Executive Officer - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,3,21916,32232,Information Technology,,
Mar-13,Junior,,,GRADE 7,Manager - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,7,45300,57223,other,,
Mar-13,Junior,,,EO,Executive Officer - Knowledge Information and Records Mgmt.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,5,21916,32232,Information Technology,,
Mar-13,Junior,,,HEO,Higher Executive Officer - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,6,26800,40828,Information Technology,,
Mar-13,Junior,,,GRADE 6,Manager - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1094,,2,55431,69187,Communications,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Communications and Marketing.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,3,33200,49008,other,,
Mar-13,Junior,,,GRADE 6,Manager - Contract Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,1,55431,69187,Information Technology,,
Mar-13,Junior,,,EO,Executive Officer - IT.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,3.6,21916,32232,Information Technology,,
Mar-13,Junior,,,SEO,Senior Executive Officer - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,10.8,33200,49008,other,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Knowledge Information and Records Mgmt.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,3,26800,40828,Information Technology,,
Mar-13,Junior,,,GRADE 6,Manager - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,2,55431,69187,other,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Librarians.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,1,33200,49008,Information Technology,,
Mar-13,Junior,,,GRADE 7,Manager - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,10,45300,57223,Communications,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Communications and Marketing.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,1,26800,40828,other,,
Mar-13,Junior,,,EO,Executive Officer - Librarians.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,2,21916,32232,other,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Contract Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,3,26800,40828,other,,
Mar-13,Junior,,,GRADE 7,Manager - Contract Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,1,45300,57223,Communications,,
Mar-13,Junior,,,GRADE 7,Manager - Communications and Marketing.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,3,45300,57223,other,,
Mar-13,Junior,,,EO,Executive Officer - Contract Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1115,,0.7,21916,32232,Information Technology,,
Mar-13,Junior,,,GRADE 6,Manager - IT.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,1,55431,69187,Information Technology,,
Mar-13,Junior,,,EO,Executive Officer - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,0.89,21916,32232,Information Technology,,
Mar-13,Junior,,,GRADE 6,Manager - IT.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,1,55431,69187,other,,
Mar-13,Junior,,,SEO,Senior Executive Officer - Knowledge Information and Records Mgmt.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,3,33200,49008,other,,
Mar-13,Junior,,,GRADE 6,Manager - Knowledge Information and Records Mgmt.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,2,55431,69187,Communications,,
Mar-13,Junior,,,GRADE 7,Manager - Communications and Marketing.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1136,,1,45300,57223,Information Technology,,
Mar-13,Junior,,,GRADE 7,Manager - IT.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,1,45300,57223,other,,
Mar-13,Junior,,,EO,Executive Officer - Knowledge Information and Records Mgmt.,,Department for Education,Education Funding Agency,Education Funding Agency,,,DFE-1053,,1,21916,32232,Communications,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Communications and Marketing.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1009,,2,26800,40828,other,,
Mar-13,Junior,,,GRADE 7,Manager - Librarians.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1107,,1,45300,57223,Finance,,
Mar-13,Junior,,,EO,Executive Officer - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1036,,3.49,21916,32232,other,,
Mar-13,Junior,,,HEO,Higher Executive Officer - Business Unit Support.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1179,,5,26800,40828,other,,
Mar-13,Junior,,,EO,Executive Officer - Estates and Facilities Management.,,Department for Education,Department For Education,Chief Information Officer Group,,,DFE-1035,,6,21916,32232,Finance,,
Mar-13,Junior,,,GRADE 7,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1031,,11.86,45300,57223,other,,
Mar-13,Junior,,,EO,Executive Officer - Business Unit Support.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1179,,11.8,21916,32232,Finance,,
Mar-13,Junior,,,GRADE 7,Manager - Finance.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1036,,9,45300,57223,other,,
Mar-13,Junior,,,EA AO,Executive Assistant - Business Unit Support.,,Department for Education,Department For Education,Finance & Commercial Group,,,DFE-1179,,2.6,15516,22939,Internal Audit,,
