Back to Index,Senion/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Column1,Professional/Occupational Group,Notes,Valid?
Sep-11,Senior,19668,N/D,SCS1,"Deputy Director, Correspondence and Information Rights",Responsible for Correspondence and Information Rights,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19678,638587,1,0,0,,Policy,,1
Sep-11,Senior,19683,N/D,SCS1,"Deputy Director, Group Human Resources","Responsible for Development of HR Policies and Processes including Learning and Development, Health and Safety, Employee Wellbeing",Her Majesty's Treasury,HM Treasury,Group Human Resources,020 7270 5760,public.enquiries@hm-treasury.gov.uk,20724,1310385,1,0,0,,Human Resources,,1
Sep-11,Senior,19736,N/D,SCS1,"Deputy Director, Information and Workspace Solutions","Responsible for Managing Business Processes, Systems, Contracts and Service Delivery, ICT and Estates Infrastructure and Sustainability, Information and Knowledge Management, Business Continuity and Departmental Security",Her Majesty's Treasury,HM Treasury,Information & Workplace Solutions,020 7270 5760,public.enquiries@hm-treasury.gov.uk,10256,1833484,1,0,0,,Information Technology,,1
Sep-11,Senior,19790,N/D,SCS1,"Deputy Director, Government Economics and Social Research",Responsible for Government Economics and Social Research,Her Majesty's Treasury,HM Treasury,Government Economic & Social Research Unit/Director's Office Economics,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19787,594858,1,0,0,,Economics,,1
Sep-11,Senior,19820,N/D,SCS1,"Deputy Director, Chief Operating Officer",Chief Operating Officer,Her Majesty's Treasury,HM Treasury,Infrastructure UK (IUK),020 7270 5760,public.enquiries@hm-treasury.gov.uk,20744,0,1,0,0,,Economics,,1
Sep-11,Senior,19822,N/D,SCS1,"Deputy Director, Infrastructure Strategy",Responsible for Infrastructure Strategy,Her Majesty's Treasury,HM Treasury,Infrastructure UK (IUK),020 7270 5760,public.enquiries@hm-treasury.gov.uk,19618,327329,1,0,0,,Economics,,1
Sep-11,Senior,20099,N/D,SCS1,"Deputy Director, Corporate Centre Change and Management Team",Responsible for Corporate Centre Change and Management,Her Majesty's Treasury,HM Treasury,Corporate Centre Change and Management Team,020 7270 5760,public.enquiries@hm-treasury.gov.uk,20724,770217,1,0,0,,Policy,,1
Sep-11,Senior,20197,N/D,SCS1,"Deputy Director, Strategic Review Implementation",Responsible for Strategic Review Implementation,Her Majesty's Treasury,HM Treasury,Strategic Review Implementation Team,020 7270 5760,public.enquiries@hm-treasury.gov.uk,10256,0,1,0,0,,Policy,Costs have been combined with Change and Management Team to protect pay costs of individuals,1
Sep-11,Senior,20238,N/D,SCS1,"Deputy Director, Tax administration, Compliance and Projects",Responsible for Tax Administration and Compliance,Her Majesty's Treasury,HM Treasury,Tax Administration & Compliance,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19812,219574,1,0,0,,Policy,,1
Sep-11,Senior,20423,N/D,SCS1,"Deputy Director, Ministerial Support",Responsible for Ministerial Support,Her Majesty's Treasury,HM Treasury,Chancellor's Office,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19678,1769018,1,0,0,,Policy,,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, Fiscal Group, OBR design issues","Responsible for Fiscal Group, OBR design issues",Her Majesty's Treasury,HM Treasury,Office of Budget Responsibility Design Team,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19806,0,1,0,0,,Policy,,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, Communications Strategy",Responsible for Communications Strategy,Her Majesty's Treasury,HM Treasury,Digital and Corporate Communications,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19678,0,1,0,0,,Communications,,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, Debt and Reserve Management",Responsible for Debt and Reserves Management.,Her Majesty's Treasury,HM Treasury,Debt and Reserves Management,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19806,0,0.83,0,0,,Policy,Part-time post,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, Economics Group",Responsible for the Economics Group,Her Majesty's Treasury,HM Treasury,Government Economic & Social Research Unit/Director's Office Economics,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19787,0,1,0,0,,Economics,,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, EMB and Secretariat",Responsible for EMB and Secretariat,Her Majesty's Treasury,HM Treasury,Strategy Change and Performance,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19678,0,1,0,0,,Policy,,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, Finance Professionalism",Responsible for Finance Professionalism,Her Majesty's Treasury,HM Treasury,Finance Professionalism,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19617,0,1,0,0,,Policy,,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, Global Economics",Responsible for Global Economics,Her Majesty's Treasury,HM Treasury,Global Economics Team,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19573,0,1,0,0,,Policy,,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, Ministerial Support",Responsible for Ministerial Support,Her Majesty's Treasury,HM Treasury,Chancellor's Office,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19678,0,1,0,0,,Policy,,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, Personal Tax Team","Responsible for Policy on Income Tax, National Insurance, Residence and Domicile, Inheritance Tax and Charity Tax",Her Majesty's Treasury,HM Treasury,Personal Taxation,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19812,0,1,0,0,,Policy,,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, Savings and Investments",Responsible for Savings and Investments,Her Majesty's Treasury,HM Treasury,Director's Office Financial Services,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19564,0,1,0,0,,Policy,,1
Sep-11,Senior,Deleted,N/D,SCS1,"Deputy Director, Strategic Review Implementation","Responsible for implementing the Treasury's internal change programme, enabling the department to improve its performance while meeting its 2010 Spending Review settlement.",Her Majesty's Treasury,HM Treasury,Strategic Review Implementation Team,020 7270 5760,public.enquiries@hm-treasury.gov.uk,10256,0,1,0,0,,Policy,,1
Sep-11,Senior,Deleted,N/D,SCS2,Director of Corporate Services,Responsible for HR and Corporate Change Management,Her Majesty's Treasury,HM Treasury,Corporate Centre,020 7270 5760,public.enquiries@hm-treasury.gov.uk,19678,0,1,40000,44999,,Policy,,1
Sep-11,Senior,0,N/D,SCS1,Not in post,N/A,Her Majesty's Treasury,HM Treasury,N/A,N/A,public.enquiries@hm-treasury.gov.uk,19596,0,1,0,0,,Policy,,1
Sep-11,Senior,0,N/D,SCS1,Not in post,N/A,Her Majesty's Treasury,HM Treasury,N/A,N/A,public.enquiries@hm-treasury.gov.uk,19618,0,1,0,0,,Policy,,1
Sep-11,Senior,0,N/D,SCS1,Not in post,N/A,Her Majesty's Treasury,HM Treasury,N/A,N/A,public.enquiries@hm-treasury.gov.uk,19576,0,1,0,0,,Policy,,1
Sep-11,Senior,0,N/D,SCS1,Not in post,N/A,Her Majesty's Treasury,HM Treasury,N/A,N/A,public.enquiries@hm-treasury.gov.uk,19787,0,1,0,0,,Policy,,1
Sep-11,Senior,0,N/D,SCS1,Not in post,N/A,Her Majesty's Treasury,HM Treasury,N/A,N/A,public.enquiries@hm-treasury.gov.uk,19535,0,1,0,0,,Policy,,1
Sep-11,Senior,0,N/D,SCS2,Not in post,N/A,Her Majesty's Treasury,HM Treasury,N/A,N/A,public.enquiries@hm-treasury.gov.uk,19678,0,0.79,0,0,,Policy,Part-time post 0.79FTE,1
Sep-11,Junior,,,Range B,Treasury Official,,Her Majesty's Treasury,HM Treasury,Alignment Project - Clear Line of Sight,,,13084,,0.6,16063,21663,,Policy,,
Sep-11,Junior,,,Range E,Treasury Official,,Her Majesty's Treasury,HM Treasury,Alignment Project - Clear Line of Sight,,,13084,,1,40731,57801,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Asset Freezing Unit,,,10658,,0.61,16063,21663,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Asset Freezing Unit,,,10658,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Asset Freezing Unit,,,10658,,1,24094,38255,,Economics,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Asset Freezing Unit,,,10658,,7,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Asset Freezing Unit,,,10658,,3,40731,57801,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Assurance and Financial Reporting Policy,,,10977,,1,16063,21663,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Assurance and Financial Reporting Policy,,,10977,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Assurance and Financial Reporting Policy,,,10977,,3,24094,38255,,Internal Audit,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Assurance and Financial Reporting Policy,,,10977,,5,40731,57801,,Finance,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Assurance and Financial Reporting Policy,,,10977,,1,40731,57801,,Internal Audit,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Assurance and Financial Reporting Policy,,,10977,,1,40731,57801,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,10817,,1,16063,21663,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,10817,,2,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,10817,,3,24094,38255,,Economics,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,10817,,4,24094,38255,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,10817,,1,24094,38255,,Economics,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,10817,,6.6,40731,57801,,Policy,,
Sep-11,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Banking & Credit,,,10817,,1,18116,18116,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Financial Sector Analysis,,,15784,,3,24094,38255,,Economics,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Financial Sector Analysis,,,15784,,4,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Financial Sector Analysis,,,15784,,1,40731,57801,,Economics,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Banking & Financial Sector Analysis,,,15784,,4,40731,57801,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Budget Coordination,,,17460,,1,16063,21663,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Budget Coordination,,,17460,,1,16063,21663,,Operational Delivery,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Budget Coordination,,,17460,,2.5,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Budget Coordination,,,17460,,2,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Budget Coordination,,,17460,,1,40731,57801,,Statisticians,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Budget, Strategy and Tax",,,10175,,2,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Budget, Strategy and Tax",,,10175,,4,24094,38255,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Budget, Strategy and Tax",,,10175,,2,24094,38255,,Statisticians,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Budget, Strategy and Tax",,,10175,,4.5,40731,57801,,Policy,,
Sep-11,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,"Budget, Strategy and Tax",,,10175,,1,18116,18116,,Economics,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Business Coordination,,,19611,,1,16063,21663,,Operational Delivery,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Business Coordination,,,19611,,0.5,18358,26720,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chancellor's Office,,,20423,,2,16063,21663,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chancellor's Office,,,20423,,3,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chancellor's Office,,,20423,,2,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chancellor's Office,,,20423,,2,40731,57801,,Policy,,
Sep-11,Junior,,,Range C,IT Support Officer,,Her Majesty's Treasury,HM Treasury,Change and Management/Strategic Review Implementation Teams,,,19736,,1,18358,26720,,Information Technology,,
Sep-11,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Change and Management/Strategic Review Implementation Teams,,,19736,,1.5,18358,26720,,Policy,,
Sep-11,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Change and Management/Strategic Review Implementation Teams,,,19736,,2.11,18358,26720,,Operational Delivery,,
Sep-11,Junior,,,Range D,Project Officer,,Her Majesty's Treasury,HM Treasury,Change and Management/Strategic Review Implementation Teams,,,19736,,0.6,24094,38255,,Policy,,
Sep-11,Junior,,,Range D,Project Officer,,Her Majesty's Treasury,HM Treasury,Change and Management/Strategic Review Implementation Teams,,,19736,,1,24094,38255,,Policy,,
Sep-11,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,Change and Management/Strategic Review Implementation Teams,,,19736,,1,24094,38255,,Operational Delivery,,
Sep-11,Junior,,,Range E,Project Manager,,Her Majesty's Treasury,HM Treasury,Change and Management/Strategic Review Implementation Teams,,,19736,,2,40731,57801,,Policy,,
Sep-11,Junior,,,Range E,Treasury Official,,Her Majesty's Treasury,HM Treasury,Change and Management/Strategic Review Implementation Teams,,,19736,,3,40731,57801,,Policy,,
Sep-11,Junior,,,Range E,Treasury Official,,Her Majesty's Treasury,HM Treasury,Change and Management/Strategic Review Implementation Teams,,,19736,,1.6,40731,57801,,Operational Delivery,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,20423,,1,16063,21663,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,20423,,1,16063,21663,,Operational Delivery,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,20423,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,20423,,3,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Chief Secretary's Office,,,20423,,1,40731,57801,,Policy,,
Sep-11,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Commercial Secretary's Office,,,20423,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,Commercial Secretary's Office,,,20423,,1,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Treasury Official,,Her Majesty's Treasury,HM Treasury,Commercial Secretary's Office,,,20423,,1,40731,57801,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Contingency Planning /Financial Sector Secretariat and Projects Teams,,,16929,,3,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Contingency Planning /Financial Sector Secretariat and Projects Teams,,,16929,,7,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Contingency Planning /Financial Sector Secretariat and Projects Teams,,,16929,,5.8,40731,57801,,Policy,,
Sep-11,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Contingency Planning /Financial Sector Secretariat and Projects Teams,,,16929,,1,18116,18116,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,18931,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,18931,,3,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,18931,,1,40731,57801,,Economics,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,18931,,2,40731,57801,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,18932,,1,16063,21663,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,18932,,4,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,18932,,2,40731,57801,,Policy,,
Sep-11,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,"Corporate Finance, Business, Innovation & Skills",,,18932,,1,18116,18116,,Policy,,
Sep-11,Junior,,,Range D,Project Manager,,Her Majesty's Treasury,HM Treasury,Corporate Services Directorate,,,20423,,1,24094,38255,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Corporate Taxation,,,10057,,1,16063,21663,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Corporate Taxation,,,10057,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Corporate Taxation,,,10057,,1,24094,38255,,Economics,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Corporate Taxation,,,10057,,6.89,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Corporate Taxation,,,10057,,7.6,40731,57801,,Policy,,
Sep-11,Junior,,,Range B,Treasury Official,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,19668,,9.42,16063,21663,,Policy,,
Sep-11,Junior,,,Range B,Treasury Official,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,19668,,1,16063,21663,,Operational Delivery,,
Sep-11,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,19668,,5.89,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Internal Auditor,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,19668,,1,24094,38255,,Internal Audit,,
Sep-11,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,19668,,2,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Treasury Official,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,19668,,2,40731,57801,,Policy,,
Sep-11,Junior,,,Student,Student,,Her Majesty's Treasury,HM Treasury,Correspondence & Information Rights Team,,,19668,,1,18116,18116,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Counter Illicit Finance,,,13274,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Counter Illicit Finance,,,13274,,5,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Counter Illicit Finance,,,13274,,4,40731,57801,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,,,19596,,1,16063,21663,,Operational Delivery,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,,,19596,,1,18358,26720,,Social Research,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,,,19596,,2,18358,26720,,Operational Delivery,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,,,19596,,6,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Project Manager,,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,,,19596,,1,40731,57801,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Defence Diplomacy & Intelligence,,,19596,,4,40731,57801,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Development Finance, Climate & Energy",,,10798,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Development Finance, Climate & Energy",,,10798,,1,24094,38255,,Economics,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Development Finance, Climate & Energy",,,10798,,4,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,"Development Finance, Climate & Energy",,,10798,,3,40731,57801,,Policy,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Devolved Countries,,,14311,,0.83,16063,21663,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Devolved Countries,,,14311,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Devolved Countries,,,14311,,2,24094,38255,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Devolved Countries,,,14311,,1,40731,57801,,Policy,,
Sep-11,Junior,,,Range E,Senior Policy Advisor,,Her Majesty's Treasury,HM Treasury,Devolved Countries,,,14311,,1,40731,57801,,Policy,,
Sep-11,Junior,,,Range B,Communications Support Officer,,Her Majesty's Treasury,HM Treasury,Digital and Corporate Communications,,,10222,,1,16063,21663,,Communications,,
Sep-11,Junior,,,Range C,Communications Support Officer,,Her Majesty's Treasury,HM Treasury,Digital and Corporate Communications,,,10222,,2,18358,26720,,Communications,,
Sep-11,Junior,,,Range D,Communications Manager,,Her Majesty's Treasury,HM Treasury,Digital and Corporate Communications,,,10222,,5,24094,38255,,Communications,,
Sep-11,Junior,,,Range E,Senior Communications Manager,,Her Majesty's Treasury,HM Treasury,Digital and Corporate Communications,,,10222,,2,40731,57801,,Communications,,
Sep-11,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Director Generals Office,,,20423,,6.03,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,Director Generals Office,,,20423,,1,24094,38255,,Policy,,
Sep-11,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Director's Office Business and International Tax,,,13676,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Director's Office Economics,,,10594,,0.5,18358,26720,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Director's Office Enterprise and Growth,,,18931,,1,18358,26720,,Operational Delivery,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Director's Office Enterprise and Growth,,,18931,,1,24094,38255,,Operational Delivery,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Director's Office Financial Management Reporting,,,13084,,1,18358,26720,,Operational Delivery,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Director's Office Financial Management Reporting,,,13084,,1,24094,38255,,Policy,,
Sep-11,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Director's Office Financial Regulation,,,13071,,0.5,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,Director's Office Financial Regulation,,,13071,,0.5,24094,38255,,Policy,,
Sep-11,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Director's Office Financial Services,,,10671,,0.5,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,Director's Office Financial Services,,,10671,,0.5,24094,38255,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Director's Office Fiscal,,,14171,,1.5,18358,26720,,Policy,,
Sep-11,Junior,,,Range D,Treasury Official,,Her Majesty's Treasury,HM Treasury,Director's Office International & EU,,,19576,,1,24094,38255,,Operational Delivery,,
Sep-11,Junior,,,Range E,Treasury Official,,Her Majesty's Treasury,HM Treasury,Director's Office International & EU,,,19576,,1,40731,57801,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Director's Office Personal Tax, Welfare & Pensions",,,20238,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Director's Office Public Services,,,14311,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,Director's Office Public Spending,,,19596,,1,18358,26720,,Operational Delivery,,
Sep-11,Junior,,,Range D,Policy Advisor,,Her Majesty's Treasury,HM Treasury,Director's Office Public Spending,,,19596,,1,24094,38255,,Operational Delivery,,
Sep-11,Junior,,,Range B,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Director's Office Strategy, Planning & Budget",,,17460,,1,16063,21663,,Operational Delivery,,
Sep-11,Junior,,,Range C,Policy Support Officer,,Her Majesty's Treasury,HM Treasury,"Director's Office Strategy, Planning & Budget",,,17460,,1,18358,26720,,Policy,,
Sep-11,Junior,,,Range C,Treasury Official,,Her Majesty's Treasury,HM Treasury,Economic Secretary's Office,,,20423,,1,18358,26720,,Operational Delivery,,
