Back to Index,Senior/Junior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Mar-12,Senior,RPH016,N/D,SCS1,Deputy Director - Consultant in Public Health - Public Health for South West,'Oversees implementation of programmes to reduce health inequalities and improve the health and wellbeing of the population across the South West with specific responsibility for children and young people.',Department of Health,Department of Health,Regional Public Health Group South West,020 7210 4850,N/D,RPH002,0,1,N/A,,,Cost of reports included under RPH002. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,RPH017,N/D,SCS1,Deputy Director - Consultant in Public Health - Public Health for South West,'Oversees implementation of programmes to reduce health inequalities and improve the health and wellbeing of the population across the South West.',Department of Health,Department of Health,Regional Public Health Group South West,020 7210 4850,N/D,RPH016,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,RPH020,Prof Paul Johnstone,SCS2,Regional Director of Public Health Yorkshire & Humber,'Responsible for: Providing senior leadership for Public Health for Yorkshire & Humber Region.',Department of Health,Department of Health,Regional Public Health Group Yorkshire and the Humber,020 7210 4850,N/D,HIP001,141638,1,85000,89999,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,RPH021,N/D,SCS1,Deputy Regional Director - Yorkshire and Humber,'Responsible for Regional Public Health Group.',Department of Health,Department of Health,Regional Public Health Group Yorkshire and the Humber,020 7210 4850,N/D,RPH020,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,RPH024,ELIMINATED,SCS1,Deputy Regional Director - Public Health for North West,"'Responsible for: The Public Health contribution to policies and programmes which improve the health and well being of the population and reduce inequalities, through Regional and local partnership working.'",Department of Health,Department of Health,Regional Public Health Group North West,N/A,N/D,PHE002,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,RPH025,ELIMINATED,SCS2,Deputy Regional Director of Public Health North West and NHS North West,'Responsible for providing senior leadership for Public Health for North East.',Department of Health,Department of Health,Regional Public Health Group North East,N/A,N/D,PHE002,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,RPH026,Prof David Walker,SCS2,Regional Director of Public Health East Midlands,'Responsible for Regional Directorate of Public Health and Social Care - East Mids.',Department of Health,Department of Health,Regional Public Health Group East Midlands,020 7210 4850,N/D,HIP001,0,1,155000,159999,,Inward Secondment. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,RPH027,ELIMINATED,SCS1,Consultant in Public Health - East Midlands,'Responsible for Health Programmes and Health Development.',Department of Health,Department of Health,Regional Public Health Group East Midlands,N/A,N/D,RPH028,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,RPH028,ELIMINATED,SCS1,Consultant in Public Health - East Midlands,'Responsible for Health Inequalities and Place Agenda.',Department of Health,Department of Health,Regional Public Health Group East Midlands,N/A,N/D,RPH026,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,RPH029,N/D,SCS1,Regional Director of Public Health North East,'Responsible for providing senior leadership for Public Health for North East',Department of Health,Department of Health,Regional Public Health Group North East,020 7210 4850,N/D,HIP001,0,1,N/A,,,Cost of reports included under HIP001. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,RPH030,N/D,SCS1,Regional Director of Public Health East Midlands,'Responsible for Regional Directorate of Public Health and Social Care - East Mids.',Department of Health,Department of Health,Regional Public Health Group East Midlands,020 7210 4850,N/D,RPH029,0,1,N/A,,,Cost of reports included under HIP001. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP001,David Behan,SCS3,Director General for Social Care - Local Government & Care Partnerships,"'Providing leadership and strategic direction for adult social care, mental health, disability, offender health and in developing DHs relationships with local and regional government.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,PSO001,167494,1,180000,184999,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP002,Shaun Gallagher,SCS2,Director of Social Care Policy,"'Leadership of the Social Care Policy Division, encompassing strategy and policy for adult social care, including funding reform and legislation; the transformation programme for social care to enable greater choice, control and personalisation of services (including direct payments and personal budgets); strategies on older peoples services, dementia, carers, dignity in care, and safeguarding. It is also responsible for policy on social care finance and efficiency, and provides DHs lead on Social Care for the Comprehensive Spending Review.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP001,491713,1,90000,94999,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP003,N/D,SCS1,Deputy Director - Strategic Policy & Finance,"'Leadership of the Social Care Strategic Policy and Finance branch, focussing on policy to ensure there is a sustainable financial framework for social care, in the short and long term, to enable local authorities and their partners to deliver high quality services; and providing analytical support for evidence-based policy across the Directorate. This includes the spending review and efficiency, the Care Services Efficiency Delivery Programme, together with policy to support greater local integration between health and social care.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP002,1177465,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP004,N/D,SCS1,Deputy Director - Social Care Policy & Innovation,"'Leadership of the Social Care Policy and Innovation branch, focusing on development of a new vision for adult social care, and government policy on personalisation of adult social care services and carers. He also holds responsibility for the Common Assessment Framework for adults and the Transforming Adult Social Care Programme.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP002,477326,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP005,N/D,SCS1,Deputy Director - Dignity & Safety,"'Leadership of the Dignity and Safety branch, which focuses on policies with a common theme of promoting the safety of service users and improving their experience of people who receive services, including Safeguarding (including the Vetting and Barring Scheme and Mental Capacity Act); Big Society; Law Commission and Social Care legislation planning. '",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP002,712755,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP006,N/D,SCS1,Deputy Director - Older People and Dementia,"'Leadership of the Older People and Dementia branch, focussing on improving the delivery of quality outcomes in health and social care services, to enable older people to live healthy, fulfilling and independent lives. This includes providing evidence, highlighting good practice, encouraging prevention and early intervention, together with support for the implementation of the National Dementia Strategy, and responsibility for NHS continuing healthcare, land long-term neurological conditions.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP002,515913,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP008,Glen Mason,SCS2,Director of Social Care Leadership and Performance,"'Responsible for improving the quality, performance and status of social care through strengthening the focus on outcomes, increasing the capacity and capability of the workforce, enhancing leadership and providing a local government perspective in the Department.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP001,572110,1,120000,124999,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP009,N/D,SCS1,Deputy Director - Local Government and Regional Policy,"'Responsible for NHS and local government integration, enhancing leadership and providing a local government perspective in the Department, strengthening the performance framework and improving the quality and performance of social care.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP008,427296,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP010,ELIMINATED,SCS1,Deputy Regional Director for Social Care and Local Partnerships - East of England,'Responsible for: Leadership for the delivery of Social Care in the region.',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,N/A,N/D,SCLGCP008,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP011,ELIMINATED,SCS1,Deputy Regional Director for Social Care and Local Partnerships - Yorks & Humber,'Responsible for: Leadership for the delivery of Social Care in the region.',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,N/A,N/D,SCLGCP008,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP012,ELIMINATED,SCS1,Deputy Regional Director for Social Care and Local Partnerships - North West,'Responsible for: Leadership for the delivery of Social Care in the region.',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,N/A,N/D,SCLGCP008,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP013,ELIMINATED,SCS1,Deputy Regional Director for Social Care and Local Partnerships - West Midlands,'Responsible for: Leadership for the delivery of Social Care in the region.',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,N/A,N/D,SCLGCP008,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP014,N/D,SCS1,Deputy Regional Director for Social Care and Local Partnerships - South East,'Responsible for: Leadership for the delivery of Social Care in the region.',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP008,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP015,N/D,SCS1,Deputy Regional Director for Social Care and Local Partnerships - London,'Responsible for: Leadership for the delivery of Social Care in the region.',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP008,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP016,ELIMINATED,SCS1,Deputy Regional Director for Social Care and Local Partnerships - South West,'Responsible for: Leadership for the delivery of Social Care in the region.',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,N/A,N/D,SCLGCP008,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP017,N/D,SCS1,Deputy Regional Director for Social Care and Local Partnerships - East Midlands,'Responsible for: Leadership for the delivery of Social Care in the region.',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP008,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP018,N/D,SCS1,Deputy Regional Director for Social Care and Local Partnerships - North East,'Responsible for: Leadership for the delivery of Social Care in the region.',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP008,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP019,Bruce Calderwood,SCS2,Director of Mental Health and Learning Disabilities,"'Providing leadership and strategic direction for mental health & disability policy including offender mental health, secure services and migrant health.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP001,868821,0.8,95000,99999,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP020,ELIMINATED,SCS1,Deputy Director - Mental Health Experience Access & Hub,"'Responsible for: policy management and development around inequalities, public mental health, employment social inclusion, access to psychological therapies, stigma, choice & personalisation, asylum seeker & refugee health; Parliamentary business, communications, business planning, financial management, independent sector funding.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,N/A,N/D,SCLGCP019,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP021,N/D,SCS1,Deputy Director - Mental Health Pathways,"'Responsible for: secure services, personality disorder, mental health act, offender mental health.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP019,0,1,N/A,,,Cost of reports included under SCLGCP019. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP022,N/D,SCS1,Deputy Director - Independent Living Programme,"'Responsible for: Policy on services for disabled adults, including: provision of community equipment, assistive technology cross-government working on independent living/equality Valuing People Now Programme Autism Strategy Programme user-led organisations Briefing and support to ministers on the above.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP019,0,0.8,N/A,,,Cost of reports included under SCLGCP019. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP023,Richard Bradshaw,SCS2,Director of Offender Health,'Responsibility for ensuring equitable health outcomes for those in contact with the health and criminal justice system. Working in conjunction with MOJ and other OGDs to reduce crime though maximised opportunities for the delivery of better integrated health and social care criminal justice systems.',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP001,293659,1,105000,109999,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP024,N/D,SCS1,Senior Public Health Specialist,"'Responsible for public health policy of people in contact with the criminal justice system including communicable disease; health promotion; substance misuse, offender drugs policy, research and development alongside public health advice to NOMS and OGDs.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP023,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP025,N/D,SCS1,Deputy Director - Head of Partnering & Alliances,"'Oversees the day to day activities of the Directorate ensuring the smooth running of operations with specific responsibility for planning, resource management, governance and assurance, organisational development and internal and external communications.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP001,414063,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP026,Mark Davies,SCS2,Director - Health Inequalities & Partnership,"'Providing strategic focus, leadership and coordination, within the Department of Health, in relation to issues of equality and human rights. Leading the Departments work on health inequalities, social justice, child poverty and disadvantage. Developing and implementing a programme of work on The Big Society, including managing the Department of Healths grants programme. Providing strategic leadership and focus within the Department on health care for military personnel, their families and veterans. Leading the Department of Healths work on health and crime, including the Coalition commitment on Information Sharing. Leading the Department’s work with stakeholders, including responsibility for key engagement mechanisms.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP001,820574,1,95000,99999,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP027,N/D,SCS1,Deputy Director - Programme Director Health Inequalities and Local Improvement programme,"'Responsible for Health Inequalities & Local Improvement programme team, Joint Strategic Needs Assessment Development Policy, Health Inequalities Network, Inclusion Health Policy, Local Improvement.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP026,0,1,N/A,,,Cost of reports included under SCLGCP026. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP030,N/D,SCS1,Deputy Director - Violence - Social Exclusion & Military Health Relations,"'Responsible for Policy on Family Intervention Projects, Violence against Women and Children Policy, Knife Crime, Military and Veteran Health.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP026,625599,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP031,N/D,SCS1,Deputy Director - Equality & Partnerships,"'Responsible for - National Stakeholder Forum; - stakeholder and external relationships; - equality and human rights policy support and advice; - single equality scheme; - race, disability, gender, age, sexual orientation, religion, belief and faith communities equality; - NHS chaplaincy.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP026,450138,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP032,N/D,SCS1,Deputy Director - Care Provider Continuity,'Head of Care Provider Continuity',Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP002,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,ERD002,N/D,SCS1,External Realtions Directorate Transition Manager,'ERD Programme Office',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,ERD001,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,MD028,Christine Outram,SCS3,Managing Director Medical Education England,"'Medical Education England. ANDPB that advises SofS on education, training, workforce planning for doctors, scientists, dentists and pharmacists.'",Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,ERD001,88000,1,165000,169999,,Inward Secondment. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,MD029,David Sowden,SCS2,Director - Medical Education,"'Medical Education England. ANDPB that advises SofS on education, training, workforce planning for doctors, scientists, dentists and pharmacists.'",Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,ERD001,290572,0.6,N/A,,,Link to substantive employer still to be provided. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,MEE001,N/D,SCS1,Deputy Director of MEE,'Medical Education England',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,MD028,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,MEE002,Nicki Latham,SCS2,Director of Operations,'Medical Education England',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,MD028,0,1,75000,79999,,IMAS - Inward Secondment. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,MEE003,Phil Wade,SCS2,Director of Development,'Medical Education England',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,MD028,0,1,100000,104999,,IMAS - Inward Secondment. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,PI001,VACANT,SCS2,Director of P&I,"'Providing strategic focus, leadership and coordination, within the Department of Health, in relation to issues of equality and human rights. Leading the Departments work on health inequalities, social justice, child poverty and disadvantage. Developing and implementing a programme of work on The Big Society, including managing the Department of Healths grants programme. Providing strategic leadership and focus within the Department on health care for military personnel, their families and veterans. Leading the Department of Healths work on health and crime, including the Coalition commitment on Information Sharing. Leading the Department’s work with stakeholders, including responsibility for key engagement mechanisms.'",Department of Health,Department of Health,External Relations Directorate,N/A,N/D,ERD001,171406,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,PI002,VACANT,SCS1,Deputy Director of Citizen Insight,'Partnerships & Information Division',Department of Health,Department of Health,External Relations Directorate,N/A,N/D,PI001,0,1,0,0,,Cost of reports included under PI001. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,PI003,VACANT,SCS1,Deputy Director of External Partnerships,'Partnerships & Information Division',Department of Health,Department of Health,External Relations Directorate,N/A,N/D,PI001,363746,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,PI004,VACANT,SCS1,Deputy Director of Information & Transparency,'Partnerships & Information Division',Department of Health,Department of Health,External Relations Directorate,N/A,N/D,PI001,709486,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD001,Jan Sobieraj,SCS3,Managing Director - NHS and Social Care Workforce,'System leadership on people matters to enable NHS and Social Care staff to serve the health needs of their communities.',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,NHSCEO01,225146,1,150000,154999,,IMAS - Inward Secondment. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD002,Jamie Rentoul,SCS2,Director - Workforce Development,'Planning the size and shape of the NHS workforce ensuring high quality education and training; and adult social care workforce.',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,ERD001,377856,1,110000,114999,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD003,N/D,SCS1,Deputy Director - Education Policy,'Ensuring appropriate workforce planning and development in relation to delivery of education.',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,WFD002,543396,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD004,N/D,SCS1,Deputy Director - Workforce Capacity & Funding,"'Strategic leadership and coordination for the development and implementation of Departmental policy in respect of workforce information, availability and planning. Funding of education and training to support the development of the workforce.'",Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,WFD002,817861,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD006,ELIMINATED,SCS1,Deputy Director - Head of Social Work Joint Unit,'Head of Social Work Joint Unit.',Department of Health,Department of Health,External Relations Directorate,N/A,N/D,WFD007,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD007,N/D,SCS1,Deputy Director - NHS Equality & Adult Social Care,'Expanding and developing our approach to diversity within the NHS to deliver an increasingly personalised/individual service to a diverse population. Developing policy on building the capacity and capability of the adult social care workforce.',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,WFD002,452129,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD009,Gavin Larner,SCS2,Director - Professional Standards,"'Advice, policy development and implementation of a range of issues relating to the regulation of health and social care staff.'",Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,ERD001,113856,1,85000,89999,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,REFPOST,Department of Health,SCS3,Department of Health,'Department of Health',Department of Health,Department of Health,Department of Health,020 7210 4850,N/D,XX,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD010,N/D,SCS1,Deputy Director - Professional Standards,'Delivering professional regulation in a way that reinforces quality.',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,WFD009,1170891,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD012,Nic Greenfield,SCS2,Director - Employee Relations,'Responsible for NHS Pay and Pensions; Employee Relations; Staff Engagement; embedding the NHS Constitution; reducing sickness absence and providing robust data and analytical services across Workforce.',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,ERD001,708858,1,130000,134999,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD013,N/D,SCS1,Deputy Director - Workforce Directorate Analysis,'Provision of analytical data to support Workforce policy areas.',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,WFD012,0,1,N/A,,,Cost of reports included under WFD012. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD015,N/D,SCS1,Deputy Director - NHS Pay & Pensions Services,'Modernisation of NHS Pension and Pay arrangements.',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,WFD012,665377,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD016,N/D,SCS1,Deputy Director - Staff Experience & Employee Relations,'Increasing the quality of care for patients by improving the staff experience as per the NHS Constitution.',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,WFD012,487854,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD018,ELIMINATED,SCS2,Director - Leadership,"'Support the NHS and Social Care to define and implement a leadership model at an individual, organisational and system level; increase the talent pool of potential NHS leaders; and embed the NHS leadership model into all leadership development activity.'",Department of Health,Department of Health,External Relations Directorate,N/A,N/D,WFD001,0,0.4,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD020,ELIMINATED,SCS1,Programme Director - Commissioning (Leadership),'Responsible for the delivery of the National Leadership Council’s commissioning workstream.',Department of Health,Department of Health,External Relations Directorate,N/A,N/D,WFD018,0,0.5,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD023,Martin Barkley,SCS2,Transition Lead for Education and Training Provider Development,'Lead role in mobilising the healthcare provider community to design the new arrangements for workforce planning and education and training.',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,WFD002,0,0.2,N/A,,,http://www.tewv.nhs.uk/Global/Annual%20Reports/0695%20TEWV%20Annual%20Report%202011-12.pdf. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD024,N/D,SCS1,Acting ESR Director,'NHS ESR Central Team',Department of Health,Department of Health,External Relations Directorate,020 7210 4850,N/D,WFD002,0,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,WFD025,ELIMINATED,SCS1,"Head of Programmes, Leadership","'Head of Programmes, Leadership'",Department of Health,Department of Health,External Relations Directorate,N/A,N/D,WFD018,0,1,0,0,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,IMP020,N/D,SCS1,Deputy Director - Innovation & Service Improvement,"'Responsible for: Innovation, Innovation Challenge Prizes, Regional Innovation Funds, Innovation Professional Leadership Group, Innovation EXPO, NHS Global'",Department of Health,Department of Health,National Director for Improvement & Efficiency,020 7210 4850,N/D,IMP002,190525,1,N/A,,,Cost of reports included under IMP002. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,CNO016,N/D,SCS1,Deputy Director - Health Visitor Programme,'Responsible for delivery of the Health Visitor Programme',Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,CNO017,338009,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,CNO017,Vivienne Bennett,SCS2,Director of Nursing/ Government's Principal Advisor on Public Health Nursing,'Responsible for Acute and Specialist Services Nursing Policy Development CNO/Nurse Executive Director meetings Nursing Professional Bodies Emergency Care – Acute Services Midwifery. Health Visitors.',Department of Health,Department of Health,Public Health Directorate,020 7210 4850,N/D,HIP001,306167,1,105000,109999,,Inward Secondment. Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,SCLGCP033,N/D,SCS1,Deputy Director for Mental Health Strategy,"'Providing leadership and strategic direction for mental health & disability policy including offender mental health, secure services and migrant health.'",Department of Health,Department of Health,Social Care Local Government & Care Partnerships Directorate,020 7210 4850,N/D,SCLGCP019,308991,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
Mar-12,Senior,CDD025,N/D,SCS1,Head of Service Delivery,"'Responsible for - Service Delivery (Estates, Information Services)'",Department of Health,Department of Health,Group Operations & Assurance Directorate,020 7210 4850,N/D,CDD012,1716792,1,N/A,,,Email form: http://www.info.doh.gov.uk/contactus.nsf/memo?openform,1,
