Back to Index,Junior/Senior,Post Unique Reference,Name,Grade (or equivalent),Job Title,Job/Team Function,Parent Department,Organisation,Unit,Contact Phone,Contact E-mail,Reports to Senior Post,Salary Cost of Reports (£),FTE,Actual Pay Floor (£),Actual Pay Ceiling (£),Professional/Occupational Group,Notes,Valid?,
Mar-12,Senior,45,Scott McPherson,SCS2,Director of Planning and Performance,"Enabling DECC to achieve its strategic objectives through effective governance, business planning, portfolio, programme and project management, and enhancing capability.",Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,38,0,1,80000,84999,Planning,,1,
Mar-12,Senior,46,N/D,SCS1,"Deputy Director, Strategy Projects","Flexible project team providing advice on strategy and policy for a secure, cost effective transition to a low carbon economy: as at 30/9/11 undertaking work on the bio energy, agriculture & waste sectors",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,0300 060 4000,correspondence@decc.gsi.gov.uk,39,691357,1,0,0,Policy,,1,
Mar-12,Senior,47,N/D,SCS1,"Deputy Director, Legal: Nuclear and Non-proliferation",To provide legal advice on Nuclear and Non-proliferation issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,1,0,0,Law,,1,
Mar-12,Senior,48,N/D,SCS1,Head of Financial Accounting,"Responsible for preparing the financial accounts for the department, financial accounting advice, and managing the supply of shared services to the department.",Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,40,498962,1,0,0,Finance,,1,
Mar-12,Senior,49,N/D,SCS1,Principal Private Secretary,Private Office and Parliamentary Support to Ministers and the Permanent Secretary,Department of Energy and Climate Change,Department of Energy and Climate Change,Private Office Group,0300 060 4000,correspondence@decc.gsi.gov.uk,1,1026214,1,0,0,Policy,,1,
Mar-12,Senior,50,N/D,SCS1,"Head of HR Pay, Policy and Operations","To provide legally compliant and best practice HR policy, pay strategy and advice",Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,42,805343,0.94,0,0,Human Resources,,1,
Mar-12,Senior,51,N/D,SCS1,"Deputy Director, Legal: Upstream Energy, FiTs and CCS","To provide legal advice on Upstream Energy, FiTs and CCS issues",Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,1,0,0,Law,,1,
Mar-12,Senior,52,N/D,SCS1,Chief Information Officer,"Responsible for strategy, policy and provision of services related to IT, Security, Accommodation, Sustainability and Knowledge and Information Management services to the Department",Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,40,868275,1,0,0,Knowledge and Information Management (KIM),,1,
Mar-12,Senior,53,N/D,SCS1,"Deputy Director, Legal: Electricity Market Reform & Ofgem Review",To provide legal advice on Electricity Market Reform & Ofgem Review issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,1,0,0,Law,,1,
Mar-12,Senior,54,Eliminated,SCS1,"Deputy Director, Strategy Projects","Flexible project team providing advice on strategy and policy for a secure, cost effective transition to a low carbon economy: as at 30/9/11 undertaking work on the power sector",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,N/A,correspondence@decc.gsi.gov.uk,39,0,1,0,0,Policy,This post has been eliminated,1,
Mar-12,Senior,55,N/D,SCS1,Head of Statistics and Head of Profession for Statistics,Statistics,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,0300 060 4000,correspondence@decc.gsi.gov.uk,43,1041831,1,0,0,Statisticians,,1,
Mar-12,Senior,56,N/D,SCS1,"Deputy Director, Legal: Commercial and Renewables",To provide legal advice on commercial matters and renewables,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,1,0,0,Law,,1,
Mar-12,Senior,57,Vacant,SCS1,"Deputy Director, Strategy","Flexible project team providing advice on strategy and policy for a secure, cost effective transition to a low carbon economy: as at 14/11/11 undertaking work on DECC’s Carbon Plan and 2050 Costs Calculator",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,0300 060 4000,correspondence@decc.gsi.gov.uk,39,0,1,0,0,Policy,This post is currently vacant,1,
Mar-12,Senior,58,N/D,SCS1,"Deputy Director, Legal: Climate Change & International",To provide legal advice on Climate Change & International issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,1,0,0,Law,,1,
Mar-12,Senior,59,N/D,SCS1,"Deputy Director, Legal: Energy Efficiency, Heat and Fuel Poverty","To provide legal advice on Energy Efficiency, Heat and Fuel Poverty issues",Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,0.75,0,0,Law,,1,
Mar-12,Senior,60,Eliminated,SCS1,DECC Future,"Responsible for Carbon Budgets, the 2050 Calculator, and ad hoc policy projects",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,N/A,correspondence@decc.gsi.gov.uk,39,0,1,0,0,Policy,This post has been eliminated,1,
Mar-12,Senior,61,N/D,SCS1,Climate Change Economics (Acting),Working to reduce greenhouse gas emissions from activities in the UK,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,109,1194013,1,0,0,Economics,,1,
Mar-12,Senior,62,N/D,SCS1,"Deputy Director, Strategy Projects","Flexible project team providing advice on strategy and policy for a secure, cost effective transition to a low carbon economy, and responsible for carbon budget management and implementation of the Climate Change Act",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,0300 060 4000,correspondence@decc.gsi.gov.uk,39,691357,1,0,0,Policy,,1,
Mar-12,Senior,63,N/D,SCS1,Head of DECC Delivery Unit,"Improving the likelihood that DECC achieves its objectives through targeted support and challenge to policy and delivery teams. Also coordinate assurance, approvals, performance management, risk reporting and project & programme management across DECC.",Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,45,469250,1,0,0,Policy,,1,
Mar-12,Senior,64,N/D,SCS1,Head of Financial Management and Control,Financial Control,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,40,1263740,1,0,0,Finance,,1,
Mar-12,Senior,65,Vacant,SCS1,Head of Modelling,To lead the Modelling team,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,0300 060 4000,correspondence@decc.gsi.gov.uk,39,0,1,0,0,Policy,This post is currently vacant,1,
Mar-12,Senior,66,Peter Betts,SCS2,International Climate Change,"Leadership of the Government’s overall strategy for international action on climate change, including leading in the UN negotiations and on DECC’s interest in disbursement of climate finance and in wider influencing.",Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,76,0,1,95000,99999,Policy,Includes elements of previous role 69,1,
Mar-12,Senior,67,Edmund Hosker,SCS2,"Director, International, EU and Energy Security","Responsible for International Energy, EU issues and energy security",Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,2,0,1,110000,114999,Policy,Costs included with post 2,1,
Mar-12,Senior,68,N/D,SCS1,Head of European Policy,To develop European Energy Policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,67,648319,1,0,0,Policy,,1,
Mar-12,Senior,70,N/D,SCS1,"Deputy Director, International Climate Policy and Finance","Responsible for international climate finance (including the UK’s International Climate Fund, the Capital Markets Climate Initiative, and long-term sources of finance), and Government policy on EU emissions reduction targets, global carbon markets, and Monitoring, Reporting & Verification (MRV).",Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,66,994223,1,0,0,Policy,,1,
Mar-12,Senior,71,Eliminated,SCS1,N/A,"Government’s overall strategy for international action on climate change, including UN negotiations and DECC’s interest in disbursement of climate finance and in wider influencing.",Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,N/A,correspondence@decc.gsi.gov.uk,66,0,1,0,0,Policy,This post has been eliminated,1,
Mar-12,Senior,72,N/D,SCS1,Deputy Programme Director Smart Metering,Rollout and Consumer Engagement,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,97,492473,1,0,0,Policy,,1,
Mar-12,Senior,73,N/D,SCS1,Head of URENCO Future Options Team,To review and advise on the future options for the UK’s shareholding in URENCO,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,38,0,0.6,0,0,Policy,Costs included in post 38,1,
Mar-12,Senior,74,N/D,SCS1,Head of International Negotiations,UK Lead Climate Negotiator/ Head of Climate Negotiations Team,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,66,275685,1,0,0,Policy,,1,
Mar-12,Senior,76,Phil Wynn Owen,SCS3,"Director General, International Climate Change and Energy Efficiency","Director General with responsibility to encourage the transition to a low-carbon economy, with help for those who need it most.",Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,1,1033301,1,140000,144999,Policy,"Includes costs of post 80, 87, 100, 104, 109",1,
Mar-12,Senior,77,Eliminated,SCS2,National Climate Change,Working to reduce greenhouse gas emissions from activities in the UK,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,N/A,correspondence@decc.gsi.gov.uk,76,0,1,0,0,Policy,This post has been eliminated,1,
Mar-12,Senior,78,Eliminated,SCS2,Communications,"To provide an information service to staff, stakeholders and the public",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,N/A,correspondence@decc.gsi.gov.uk,76,0,1,0,0,Communications,This post has been eliminated,1,
Mar-12,Senior,79,N/D,SCS1,"Head of International Climate Change Strategy, Engagement and Analysis",To co-ordinate cross Whitehall strategy on climate change and engagement with other countries (with FCO) and with business and civil society.,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,66,740167,1,0,0,Policy,,1,
Mar-12,Senior,80,Tracy Vegro,SCS2,Director: Green Deal,"Programme of legislation for the Green Deal and Senior Responsible Officer for the programme, including the development of policy on accreditation, standards, redress and finance. Procurement of Green Deal oversight and support services and sponsorship for Carbon Trust and Energy Saving Trust.",Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,76,0,1,80000,84999,Policy,Costs included in post 76,1,
Mar-12,Senior,81,Daron Walker,SCS2,Smart Meters and Fuel Poverty,"Facilitate the transition to low carbon economy through the successful roll out of smart meters to homes and small businesses by 2019, and implementing projects that help more of the lowest income and vulnerable households with the costs of heating their homes.",Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,76,0,1,80000,84999,Policy,,1,
Mar-12,Senior,82,Vacant,SCS1,Carbon Budgets,Working to reduce greenhouse gas emissions from activities in the UK,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,0300 060 4000,correspondence@decc.gsi.gov.uk,39,0,1,0,0,Policy,This post is currently vacant,1,
Mar-12,Senior,83,N/D,SCS1,"Head, Strategy and Delivery, Energy Efficiency Deployment Office",To improve energy efficiency across the UK economy.,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,109,408605,1,0,0,Policy,,1,
Mar-12,Senior,84,N/D,SCS1,Head - Fuel Poverty,Fuel Poverty policy,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,81,848288,1,0,0,Policy,,1,
Mar-12,Senior,85,N/D,SCS1,"Head, Smart Metering Policy and Strategy",Development of strategy and policy on smart metering,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,81,753629,1,0,0,Policy,,1,
Mar-12,Senior,86,N/D,SCS1,"Head, Industrial Energy Efficiency",Industrial Energy Efficiency,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,100,1218631,1,0,0,Policy,,1,
Mar-12,Senior,87,N/D,SCS1,Head of Renewable Heat Premium Payment (Acting),To develop Renewable Heat Premium Payment policy,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,100,0,1,0,0,Policy,Costs included in post 76,1,
Mar-12,Senior,88,N/D,SCS1,Head of Customer Insight,Customer insight and social research,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,109,388109,1,0,0,Policy,,1,
Mar-12,Senior,89,N/D,SCS1,"Head, Renewable Heat Incentive",Responsible for leading the development and implementation of the Renewable Heat Incentive,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,100,544672,1,0,0,Policy,,1,
Mar-12,Senior,90,N/D,SCS1,Head of Corporate Communication,Corporate Communication,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,0300 060 4000,correspondence@decc.gsi.gov.uk,39,1214400,1,0,0,Communications,,1,
Mar-12,Senior,91,N/D,SCS1,Head of News,DECC News,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,0300 060 4000,correspondence@decc.gsi.gov.uk,39,449887,1,0,0,Communications,,1,
Mar-12,Senior,92,N/D,SCS1,Head of Heat Strategy and Policy,"Responsible for the Govt’s low carbon heat strategy including policy on heating and cooling in buildings, district and community heating, distributed energy systems and industrial process heat. The team also covers the Standard Assessment Procedure (SAP) measuring building energy performance and Combined Heat and Power (CHP).",Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,100,590675,1,0,0,Policy,,1,
Mar-12,Senior,93,Eliminated,SCS1,Corporate Communications,"To provide an information service to staff, stakeholders and the public",Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,N/A,correspondence@decc.gsi.gov.uk,78,0,1,0,0,Communications,This post has been eliminated,1,
Mar-12,Senior,94,N/D,SCS1,Head of HR Strategy and Change,To ensure that DECC has strategies in place to develop the capability - through both recruiting the right people and developing the right skills - it needs to deliver on its business objectives,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,42,351060,1,0,0,Human Resources,,1,
Mar-12,Senior,95,N/D,SCS1,"Head, Strategy and Programme Office - Electricity Markets and Infrastructure","Running the EMI SPO which includes Group strategy and portfolio and performance management, policy coherence across the Group, a flexible resource pool to support pressures across the Group, responsibility DECC's Primary Legislation and Devolution issues and general support for the Director General.",Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,2,811641,1,0,0,Policy,,1,
Mar-12,Senior,96,N/D,SCS1,"Head, Institutional Frameworks",> Design and implementation of EMR institutional arrangements; > Implementation of Ofgem Review; > Management of DECC-Ofgem corporate relationship,Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,3,592579,1,0,0,Policy,,1,
Mar-12,Senior,97,Robert Turner,SCS2,Smart Meters,To lead the Smart Meter Programme and deliver the required outcomes of Stage 2 (Foundation stage),Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,76,0,1,110000,114999,Policy,,1,
Mar-12,Senior,98,N/D,SCS1,Head of Security of Electricity Supply,Security of electricity supply policy,Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,3,599505,1,0,0,Policy,,1,
Mar-12,Senior,99,Eliminated,SCS1,Deputy Director Governance and Capability (Acting),Governance and capability,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,N/A,correspondence@decc.gsi.gov.uk,45,0,1,0,0,Policy,This post has been eliminated,1,
Mar-12,Senior,100,Stephen Martin,SCS2,"Director, Heat & Industry","Developing a long-term strategy for reducing emissions from heating. Supporting the deployment of renewable heat production. Improving energy efficiency and reducing emissions of large energy users, while maintaining UK industrial competitiveness.",Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,76,0,1,85000,89999,Policy,Costs included in post 76,1,
Mar-12,Senior,101,Mark Pedlingham,SCS2,"Strategic Delivery Director, Office of Carbon Capture and Storage",Delivery of CCS Demonstration Programme,Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,6,0,1,105000,109999,Programme and Project Management (PPM),Costs included in post 2,1,
Mar-12,Senior,102,N/D,SCS1,Head of Planning and Coordination,Business plan and planning cycle; continuous improvement,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,45,0,1,0,0,Planning,Costs included in post 38,1,
Mar-12,Senior,103,N/D,SCS1,Head of Better Regulation,Better Regulation and Red Tape Challenge,Department of Energy and Climate Change,Department of Energy and Climate Change,Strategy and Evidence Group,0300 060 4000,correspondence@decc.gsi.gov.uk,43,0,1,0,0,Policy,Costs included in post 43,1,
Mar-12,Senior,104,N/D,SCS1,"Deputy Director, Fuel Poverty",Fuel Poverty,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,81,0,1,0,0,Policy,Costs included in post 76,1,
Mar-12,Senior,105,N/D,SCS1,Head of Regulation,Smart Meter Programme,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,97,1357512,1,0,0,Policy,,1,
Mar-12,Senior,106,Vacant,SCS1,Chief Technology Officer,Chief Technology Officer,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,97,0,1,0,0,Policy,This post is currently vacant,1,
Mar-12,Senior,107,N/D,SCS1,Head of Commercial,Smart Metering Implementation Programme,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,97,3547649,1,0,0,Policy,,1,
Mar-12,Senior,108,N/D,SCS1,"Deputy Director, Green Deal Demand",Drive demand for the Green Deal,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,80,475000,1,0,0,Policy,,1,
Mar-12,Senior,109,David Purdy,SCS2,"Acting Director, Energy Efficiency Deployment Office",To advance energy efficiency in the UK,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,76,0,1,80000,84999,Policy,Costs included in post 76,1,
Mar-12,Senior,110,N/D,SCS1,"Deputy director, Green Deal Legislation and Finance",Responsible for advice to Ministers on the development and delivery of the Green Deal finance mechanism,Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,80,722165,1,0,0,Policy,,1,
Mar-12,Senior,111,N/D,SCS1,"Deputy Director, Green Deal Programme Delivery","Green Deal programme management and procurement of outsourced functions for Green Deal framework. Sponsorship of Carbon Trust, Energy Saving Trust and Energy Efficiency Partnership for Buildings.",Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,80,582710,1,0,0,Policy,,1,
Mar-12,Senior,112,N/D,SCS1,Head of Electricity Market Reform Programme Team,Ensure the effective implementation of the Electricity Market Reform programme,Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,3,705475,1,0,0,Policy,,1,
Mar-12,Senior,113,Eliminated,SCS1,Head of EU Renewables Target,To develop EU Renewables Target,Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,N/A,correspondence@decc.gsi.gov.uk,3,0,1,0,0,Policy,This post has been eliminated,1,
Mar-12,Senior,114,N/D,SCS1,"Deputy Director, Legal: Infrastructure & Market Regulation",To provide legal advice on Infrastructure & Market Regulation issues,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,41,0,0.83,0,0,Law,,1,
Mar-12,Senior,115,N/D,SCS1,"Head, International & Domestic Energy Security",Energy Security,Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,67,1319943,1,0,0,Policy,,1,
Mar-12,Senior,116,N/D,SCS1,Head of Energy Resilience,"Enabling secure and resilient energy assets and networks, and ensuring plans and arrangements are in place to respond to threats and hazards that could significantly disrupt energy supplies",Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,67,529037,1,0,0,Policy,,1,
Mar-12,Senior,117,N/D,SCS1,"Head of GDF, EU and International","Team has responsibility for managing the Radioactive Waste Safely Programme including the Geological Disposal Facility, CoRWM sponsorship and UK Radioactive Waste Inventory. It also leads on EU and international nuclear safety and radioactive waste policy",Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,8,584538,1,0,0,Policy,,1,
Mar-12,Senior,118,N/D,SCS1,Head of Offshore Oil and Gas Environment and Decommissioning,Environmental regulation of the offshore oil and gas industry,Department of Energy and Climate Change,Department of Energy and Climate Change,Energy Markets & Infrastructure,0300 060 4000,correspondence@decc.gsi.gov.uk,5,1008187,0.95,0,0,Policy,,1,
Mar-12,Senior,119,N/D,SCS1,Deputy Director - Green Deal,"Putting in place energy efficiency obligations, and quality standards and accreditation arrangements, under the new Green Deal",Department of Energy and Climate Change,Department of Energy and Climate Change,International Climate Change and Energy Efficiency,0300 060 4000,correspondence@decc.gsi.gov.uk,80,715404,1,0,0,Policy,,1,
Mar-12,Senior,120,N/D,SCS1,Head of Corporate Governance and Capability,Secretariat to the Departmental board and committees and implementation of the Department’s capability review.,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,0300 060 4000,correspondence@decc.gsi.gov.uk,45,300056,1,0,0,Planning,,1,
Mar-12,Junior,,,Administrative Officer London,Legal Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,41,,2,21250,22646,Law,,,
Mar-12,Junior,,,Executive Officer London,Legal Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,41,,1,24992,29060,Law,,,
Mar-12,Junior,,,Senior Executive Officer London,Legal Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,41,,3,34713,41851,Law,,,
Mar-12,Junior,,,Grade 7 London,Senior Legal Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,41,,9.44,46975,56597,Law,,,
Mar-12,Junior,,,Grade 6 London,Senior Legal Adviser,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,41,,27.63,56707,68322,Law,,,
Mar-12,Junior,,,Higher Executive Officer London,HR Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,50,,3,29261,34424,Human Resources,,,
Mar-12,Junior,,,Senior Executive Officer London,HR Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,50,,2,34713,41851,Human Resources,,,
Mar-12,Junior,,,Grade 7 National,Senior HR Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,50,,2,42975,52597,Human Resources,,,
Mar-12,Junior,,,Grade 6 London,Senior HR Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,50,,4,56707,68322,Human Resources,,,
Mar-12,Junior,,,Higher Executive Officer London,HR Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,94,,1,29261,34424,Human Resources,,,
Mar-12,Junior,,,Senior Executive Officer London,HR Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,94,,1,34713,41851,Human Resources,,,
Mar-12,Junior,,,Grade 7 National,Senior HR Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,94,,1,42975,52597,Human Resources,,,
Mar-12,Junior,,,Grade 7 London,Operational Researcher,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,94,,1,46975,56597,Operational Research,,,
Mar-12,Junior,,,Grade 6 London,Senior HR Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,94,,2,56707,68322,Human Resources,,,
Mar-12,Junior,,,Administrative Officer London,Diary Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,50,,1,21250,22646,Human Resources,,,
Mar-12,Junior,,,Executive Officer London,Diary Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,42,,1,24992,29060,Human Resources,,,
Mar-12,Junior,,,Fast Stream London,Office Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,42,,1,27000,33654,Human Resources,,,
Mar-12,Junior,,,Senior Executive Officer London,HR Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,42,,1,34713,41851,Human Resources,,,
Mar-12,Junior,,,Executive Officer London,HR Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,50,,1,24992,29060,Human Resources,,,
Mar-12,Junior,,,Senior Executive Officer London,HR Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,50,,2,34713,41851,Human Resources,,,
Mar-12,Junior,,,Grade 7 London,Senior HR Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,50,,1,46975,56597,Human Resources,,,
Mar-12,Junior,,,Grade 6 London,Senior HR Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,50,,1,56707,68322,Human Resources,,,
Mar-12,Junior,,,Senior Executive Officer London,Operational Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,42,,1,34713,41851,Other,,,
Mar-12,Junior,,,Grade 6 London,Senior Operational Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,42,,1,56707,68322,Other,,,
Mar-12,Junior,,,Fast Stream London,Project Support Officer,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,38,,1,27000,33654,Programme and Project Management (PPM),,,
Mar-12,Junior,,,Grade 7 London,Project Manager,,Department of Energy and Climate Change,Department of Energy and Climate Change,Operations Group,,,38,,1,46975,56597,Programme and Project Management (PPM),,,
